date,unfiltered_area,filtered_area,corrected_areas_1,corrected_trend_1,sar_trend,days_passed,area
2019-11-01,89.48485760577393,,,,0.028599869281066503,1.0,238.2192671934099
2019-11-10,210.28530689195173,,,,0.028599869281044396,9.0,238.4766660169393
2019-11-20,205.9808386957783,,,,0.01458477124183446,10.0,238.62251372935765
2019-11-25,233.3438368219171,233.3438368219171,233.3438368219171,-0.1581658783961643,0.01821663398692408,5.0,233.3438368219171
2019-11-30,237.9306883895503,237.9306883895503,237.9306883895503,0.9173703135266408,0.0206378758169933,5.0,237.9306883895503
2019-12-03,149.9995638173108,,,,0.020637875816987616,3.0,237.99260201700127
2019-12-05,231.08928941836464,231.08928941836464,231.08928941836464,-1.3682797942371336,-0.05213854575163168,2.0,231.08928941836464
2019-12-10,227.12356100278512,227.12356100278512,227.12356100278512,-0.7931456831159039,-0.12491496732026235,5.0,227.12356100278512
2019-12-15,225.37840525468127,225.37840525468127,225.37840525468127,-0.349031149620771,-0.12491496732026804,5.0,225.37840525468127
2019-12-19,80.53334592346191,,,,-0.11421910947711922,4.0,224.9215288167728
2019-12-20,157.3846635938895,,,,-0.1106538235294181,1.0,224.81087499324337
2019-12-25,217.59940273181152,,,,-0.11065382352941242,5.0,224.2576058755963
2019-12-30,219.5273280646951,,,,-0.1425444901960816,5.0,223.5448834246159
2020-01-04,236.95960060712963,236.95960060712963,236.95960060712963,0.5790597676224181,-0.18349676470588747,5.0,236.95960060712963
2020-01-09,225.40829923042563,225.40829923042563,225.40829923042563,-2.310260275340801,-0.1789076143790851,5.0,225.40829923042563
2020-01-14,231.7574507537629,231.7574507537629,231.7574507537629,1.269830304667454,-0.2061228888888877,5.0,231.7574507537629
2020-01-19,231.4398933491819,231.4398933491819,231.4398933491819,-0.06351148091620189,-0.3149839869281038,5.0,231.4398933491819
2020-01-20,234.9477365767528,234.9477365767528,234.9477365767528,3.507843227570902,-0.31498398692809815,1.0,234.9477365767528
2020-01-24,219.2586076722829,219.2586076722829,219.2586076722829,-3.922282226117474,-0.31498398692810525,4.0,219.2586076722829
2020-02-03,229.3207526208568,229.3207526208568,229.3207526208568,1.0062144948573917,-0.42549148692810945,10.0,229.3207526208568
2020-02-08,227.28648357907284,227.28648357907284,227.28648357907284,-0.4068538083567944,-0.4364806078431457,5.0,227.28648357907284
2020-02-18,77.08411704288521,,,,-0.4345463725490163,10.0,222.94101985358267
2020-02-21,175.6905943909048,,,,-0.39501660130719074,3.0,221.7559700496611
2020-02-23,221.1616490589284,221.1616490589284,221.1616490589284,-0.4083223013429631,-0.39501660130719074,2.0,221.1616490589284
2020-02-28,75.9687123718647,,,,-0.39501660130719074,5.0,219.18656605239244
2020-03-04,222.042560154058,,,,-0.45210240522876005,5.0,216.92605402624864
2020-03-08,218.87660929941288,,,,-0.4901596078431325,4.0,214.9654155948761
2020-03-14,218.419532247437,,,,-0.4780317973856209,6.0,212.09722481056238
2020-03-19,155.89287731488037,,,,-0.4173927450980443,5.0,210.01026108507216
2020-03-24,142.01398943313418,,,,-0.41739274509803864,5.0,207.92329735958197
2020-03-29,208.48940941405647,208.48940941405647,208.48940941405647,-0.3620639898534835,-0.29699433986927487,5.0,208.48940941405647
2020-04-03,49.82394546447059,,,,-0.26689473856209245,5.0,207.154935721246
2020-04-08,51.63087221933666,,,,-0.12683059477124062,5.0,206.5207827473898
2020-04-09,178.27444982218998,,,,0.08326562091505707,1.0,206.60404836830486
2020-04-13,203.4776896607664,203.4776896607664,203.4776896607664,-0.3341146502193377,0.08326562091502865,4.0,203.4776896607664
2020-04-18,198.44756814001173,198.44756814001173,198.44756814001173,-1.0060243041509351,0.08326562091503434,5.0,198.44756814001173
2020-04-23,197.1974041831287,197.1974041831287,197.1974041831287,-0.2500327913766057,-0.3338289215686302,5.0,197.1974041831287
2020-04-28,174.721841956604,,,,-0.3338289215686359,5.0,195.52825957528552
2020-05-03,189.2558361780812,189.2558361780812,189.2558361780812,-0.7941568005047486,-0.2880991960784286,5.0,189.2558361780812
2020-05-08,67.47335121677749,,,,-0.25761271241830175,5.0,187.9677726159897
2020-05-18,149.50527717239677,,,,-0.4249200653594755,10.0,183.71857196239495
2020-05-23,182.87037350177,182.87037350177,182.87037350177,-0.31927313381556105,-0.5364583006535952,5.0,182.87037350177
2020-05-27,183.45513771378936,183.45513771378936,183.45513771378936,0.14619105300484136,-0.09420129084967499,4.0,183.45513771378936
2020-05-28,187.56631260701977,187.56631260701977,187.56631260701977,4.111174893230412,0.0532177124183022,1.0,187.56631260701977
2020-06-07,89.6986851158921,,,,0.0048949019607817945,10.0,187.61526162662759
2020-06-12,181.91419010530595,181.91419010530595,181.91419010530595,-0.37680816678092127,-0.18839633986927992,5.0,181.91419010530595
2020-06-22,176.10178760693168,176.10178760693168,176.10178760693168,-0.5812402498374268,-0.13342754901960632,10.0,176.10178760693168
2020-06-27,149.6610526079518,,,,-0.07845875816993839,5.0,175.709493816082
2020-06-28,172.27081479492188,,,,-0.07845875816991565,1.0,175.63103505791207
2020-07-07,190.47345752522688,190.47345752522688,190.47345752522688,0.9581113278863465,0.6061663071895459,9.0,190.47345752522688
2020-07-12,186.3736184138693,186.3736184138693,186.3736184138693,-0.8199678222715135,0.269514084967318,5.0,186.3736184138693
2020-07-14,157.5715703328216,,,,0.26951408496731233,2.0,186.91264658380393
2020-07-17,159.9946295269165,,,,0.016418431372547577,3.0,186.96190187792158
2020-07-30,189.2498933418713,189.2498933418713,189.2498933418713,0.15979305155566692,0.03949002513826372,13.0,189.2498933418713
2020-08-01,200.51924800826248,,,,0.09140111111111082,2.0,189.43269556409354
2020-08-11,185.0882705429659,185.0882705429659,185.0882705429659,-0.34680189990878557,0.2545135555555532,10.0,185.0882705429659
2020-08-15,214.63270691471712,,,,0.49918222222222397,4.0,187.08499943185478
2020-08-21,191.9580739193725,191.9580739193725,191.9580739193725,0.6869803376406622,0.43377389978213426,6.0,191.9580739193725
2020-08-26,196.1771866397674,196.1771866397674,196.1771866397674,0.8438225440789779,0.30295725490196335,5.0,196.1771866397674
2020-08-31,201.2419700079932,201.2419700079932,201.2419700079932,1.0129566736451578,0.30295725490195763,5.0,201.2419700079932
2020-09-05,198.91717698514307,198.91717698514307,198.91717698514307,-0.46495860457002325,1.2527545751633966,5.0,198.91717698514307
2020-09-15,200.6105491461859,,,,1.082308790849669,10.0,209.74026489363976
2020-09-16,197.3625847836488,,,,0.6846019607843346,1.0,210.4248668544241
2020-09-25,217.7498763932258,217.7498763932258,217.7498763932258,0.9416349704041366,0.6341847712418358,9.0,217.7498763932258
2020-10-02,217.9442215360665,217.9442215360665,217.9442215360665,0.027763591834384118,0.2308472549019598,7.0,217.9442215360665
2020-10-05,221.94677333013152,221.94677333013152,221.94677333013152,1.3341839313550092,0.2308472549019598,3.0,221.94677333013152
2020-11-03,209.7783801499167,,,,0.24708852603110495,29.0,229.11234058503356
2020-11-04,237.0381428952057,237.0381428952057,237.0381428952057,0.5030456521691397,0.034920490196071796,1.0,237.0381428952057
2020-11-14,169.89535148949645,,,,0.016261892156862245,10.0,237.20076181677433
2020-11-19,188.4830622511058,,,,-0.027274836601310425,5.0,237.06438763376778
2020-11-24,209.2816716538472,,,,-0.04093918300653741,5.0,236.8596917187351
2020-11-29,173.08575958427042,,,,-0.095596568627451,5.0,236.38170887559784
2020-12-05,136.06542364789394,,,,-0.09559656862744721,6.0,235.80812946383315
2020-12-09,181.8544022008978,,,,-0.21390470588235644,4.0,234.95251064030373
2020-12-14,161.94625376171874,,,,-0.21390470588235644,5.0,233.88298711089195
2020-12-19,215.07610575569493,,,,-0.2137034771241872,5.0,232.814469725271
2020-12-24,146.0288581281578,,,,-0.21340163398693335,5.0,231.74746155533634
2020-12-29,216.7547352726216,,,,-0.21340163398693335,5.0,230.68045338540168
2021-01-03,231.06149848066144,231.06149848066144,231.06149848066144,-0.09961074024240446,-0.06403207843136442,5.0,231.06149848066144
2021-01-06,30.11434056652832,,,,-0.21194091503267978,3.0,230.4256757355634
2021-01-08,183.60576607883493,,,,-0.21194091503267032,2.0,230.00179390549806
2021-01-13,228.54060359567032,228.54060359567032,228.54060359567032,-0.2520894884991122,-0.211940915032676,5.0,228.54060359567032
2021-01-18,211.8195780524067,,,,-0.22698050326797556,5.0,227.40570107933044
2021-01-22,137.5962216639404,,,,-0.237006895424841,4.0,226.45767349763108
2021-01-23,199.3380559112721,,,,-0.2370068954248552,1.0,226.22066660220622
2021-01-28,211.3965769139216,,,,-0.21699671241830173,5.0,225.1356830401147
2021-02-02,206.5661241248181,,,,-0.13695598039216178,5.0,224.4509031381539
2021-02-07,227.6718965745584,227.6718965745584,227.6718965745584,-0.034748280844477224,-0.13695598039215612,5.0,227.6718965745584
2021-02-12,224.9809192698725,224.9809192698725,224.9809192698725,-0.5381954609371803,-0.21046560130718603,5.0,224.9809192698725
2021-02-17,216.7621169071112,216.7621169071112,216.7621169071112,-1.643760472552259,-0.22884300653594777,5.0,216.7621169071112
2021-02-22,220.6171329635264,220.6171329635264,220.6171329635264,0.7710032112830391,-0.2811202352941223,5.0,220.6171329635264
2021-02-23,190.7526335397404,,,,-0.35953607843137547,1.0,220.257596885095
2021-02-27,222.71199875864187,222.71199875864187,222.71199875864187,0.4189731590230963,-0.35953607843136837,4.0,222.71199875864187
2021-03-04,220.8779411836665,220.8779411836665,220.8779411836665,-0.36681151499507225,-0.35953607843137547,5.0,220.8779411836665
2021-03-09,79.17279574230956,,,,-0.4275401307189554,5.0,218.74024053007173
2021-03-11,218.53718223599185,218.53718223599185,218.53718223599185,-0.334394135382094,-0.4275401307189526,2.0,218.53718223599185
2021-03-14,217.52447188730468,217.52447188730468,217.52447188730468,-0.3375701162290549,-0.4275401307189573,3.0,217.52447188730468
2021-03-19,150.1394816380615,,,,-0.3997677777777767,5.0,215.5256329984158
2021-03-27,190.100076886927,,,,-0.3812528758169904,8.0,212.47560999187988
2021-03-29,210.39723858621588,210.39723858621588,210.39723858621588,-0.4751488867392538,-0.38203892156862196,2.0,210.39723858621588
2021-04-03,46.25980392148772,,,,-0.3828249673202663,5.0,208.48311374961455
2021-04-08,204.5728798409216,204.5728798409216,204.5728798409216,-0.582435874529429,-0.3828249673202606,5.0,204.5728798409216
2021-04-12,203.5315263115909,203.5315263115909,203.5315263115909,-0.2603383823326695,-0.3172432516339896,4.0,203.5315263115909
2021-04-13,197.85358797662,197.85358797662,197.85358797662,-5.677938334970918,-0.2953826797385659,1.0,197.85358797662
2021-04-23,77.61717327520752,,,,-0.23058448366012954,10.0,195.5477431400187
2021-04-28,206.7514583321952,,,,0.02860830065359323,5.0,195.69078464328666
2021-05-03,196.1959051244844,196.1959051244844,196.1959051244844,-0.08288414260677968,0.028608300653598918,5.0,196.1959051244844
2021-05-13,193.7641206384096,193.7641206384096,193.7641206384096,-0.2431784486074804,-0.14460241830065854,10.0,193.7641206384096
2021-05-14,196.2412213720277,196.2412213720277,196.2412213720277,2.4771007336181015,-0.14460241830065002,1.0,196.2412213720277
2021-05-30,117.48824247326132,,,,0.2240993280228789,16.0,199.82681062039376
2021-06-02,195.6786188372539,195.6786188372539,195.6786188372539,-0.02961065972493621,-0.1444321895424802,3.0,195.6786188372539
2021-06-22,195.38249614706024,195.38249614706024,195.38249614706024,-0.014806134509683488,-0.0529391078431388,20.0,195.38249614706024
2021-06-27,193.747145629345,193.747145629345,193.747145629345,-0.3270701035430477,0.023177843137256106,5.0,193.747145629345
2021-07-01,197.2327260381532,197.2327260381532,197.2327260381532,0.871395102202051,0.023177843137254683,4.0,197.2327260381532
2021-07-02,197.87584029150057,197.87584029150057,197.87584029150057,0.6431142533473633,0.02317784313726179,1.0,197.87584029150057
2021-07-07,195.8778121385089,195.8778121385089,195.8778121385089,-0.39960563059833587,-0.15947467320261238,5.0,195.8778121385089
2021-07-17,192.23106147688583,192.23106147688583,192.23106147688583,-0.36467506616230594,-0.1417344771241858,10.0,192.23106147688583
2021-07-22,187.6846447939905,187.6846447939905,187.6846447939905,-0.9092833365790682,-0.10034068627451234,5.0,187.6846447939905
2021-08-02,188.8563888661293,188.8563888661293,188.8563888661293,0.10652218837625521,0.02838417706476548,11.0,188.8563888661293
2021-08-11,199.6662732417739,199.6662732417739,199.6662732417739,1.2010982639605112,0.27481492374728117,9.0,199.6662732417739
2021-08-16,196.93953342686407,196.93953342686407,196.93953342686407,-0.545347962981964,0.49090702614378756,5.0,196.93953342686407
2021-08-21,198.1487466334322,198.1487466334322,198.1487466334322,0.24184264131362737,0.4300005816993462,5.0,198.1487466334322
2021-08-26,199.6798850740009,199.6798850740009,199.6798850740009,0.3062276881137393,0.3386409150326813,5.0,199.6798850740009
2021-09-03,198.5359183852628,198.5359183852628,198.5359183852628,-0.14299583609226474,0.5058897508169906,8.0,198.5359183852628
2021-09-05,202.97477473511893,202.97477473511893,202.97477473511893,2.219428174928069,0.7846378104575251,2.0,202.97477473511893
2021-09-20,226.1116387602821,226.1116387602821,226.1116387602821,1.5424576016775442,0.6511792309368218,15.0,226.1116387602821
2021-09-30,223.66505737269023,223.66505737269023,223.66505737269023,-0.24465813875918627,0.32086532679738583,10.0,223.66505737269023
2021-10-05,159.13190930200386,,,,0.1785068954248402,5.0,224.55759184981443
2021-10-15,220.5156045043132,220.5156045043132,220.5156045043132,-0.2099635245584693,0.7483204248366035,10.0,220.5156045043132
2021-10-25,178.0440450034613,,,,0.2505480163398744,10.0,223.02108466771193
2021-11-04,234.01524079920225,234.01524079920225,234.01524079920225,0.6749818147444528,-0.02039029411764659,10.0,234.01524079920225
2021-11-06,232.9535846845729,232.9535846845729,232.9535846845729,-0.5308280573146789,-0.05086359477125768,2.0,232.9535846845729
2021-11-19,240.4257661475993,,,,-1.422631960784313,13.0,214.45936919437682
2021-11-22,232.11438137025505,,,,-2.2799871895424815,3.0,207.61940762574937
2021-11-24,225.9405674805276,,,,0.021435408496728314,2.0,207.66227844274283
2021-12-09,190.2816202304077,,,,1.6750237843137257,15.0,232.78763520744872
2021-12-14,191.1469344022217,,,,-0.10652032679738568,5.0,232.2550335734618
2021-12-19,222.5580458050516,222.5580458050516,222.5580458050516,-0.24175671812840224,-0.11170737254902292,5.0,222.5580458050516
2021-12-24,215.78066094051653,,,,-0.11948794117647026,5.0,221.96060609916924
2021-12-29,194.36541731593783,,,,-0.11948794117647026,5.0,221.3631663932869
